,Club,League,Age,National,Height,Main_position,Foot,Market_Value,Months_left,Start_app,Sub_app,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Market_Value_log,Card,Position_Group,Continent,Continent_Grouped,Club_Group
0,TSG 1899 Hoffenheim,Bundesliga,22,Czech Republic,188,Second Striker,right,18.0,49.0,19.0,5.0,1619.0,7,2,2,0,2.2,70.4,1.5,3,6.84,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.1,0.0,0.8,1.1,1.2,2.3,1.2,0.6,0.3,0.0,0.2,0.0,0.2,0.8,0.1,0.7,0.2,17.5,0.5,0.6,11.8,4.6,1.7,1.4,0.0,0.0,0.0,0.0,2.2,0.8,0.1,1.3,0.8,0.4,1.2,2.9444389791664403,2,Tiền đạo,Europe,Europe,Mid-High Tier
1,1.FC Heidenheim 1846,Bundesliga,27,Germany,186,Attacking Midfield,right,2.0,37.0,15.0,14.0,1383.0,2,1,1,0,1.1,81.9,0.9,0,6.55,1.4,0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.6,1.0,1.2,2.2,0.3,0.6,0.1,0.0,0.1,0.0,0.2,0.6,0.1,0.5,0.1,20.4,1.0,0.5,15.7,3.2,1.2,0.7,0.0,0.0,0.0,0.0,1.1,0.4,0.1,0.5,1.2,0.8,1.9,1.0986122886681098,1,Tiền đạo,Europe,Europe,Bottom Tier
2,Borussia Mönchengladbach,Bundesliga,32,France,181,Centre-Forward,right,6.0,13.0,23.0,5.0,1812.0,11,4,3,0,1.4,75.6,0.5,2,6.76,1.7,0.5,1.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.1,0.0,0.3,0.9,0.6,1.5,1.2,0.6,0.4,0.1,0.3,0.0,0.1,0.9,0.1,0.7,0.3,24.7,1.1,0.5,17.5,5.5,1.4,0.8,0.0,0.0,0.0,0.0,1.4,0.3,0.2,1.0,0.3,0.3,0.5,1.9459101490553132,3,Tiền đạo,Europe,Europe,Lower Tier
3,Bayer 04 Leverkusen,Bundesliga,27,Spain,173,Central Midfield,right,20.0,49.0,15.0,10.0,1295.0,3,3,2,0,0.6,91.0,0.1,1,6.68,0.4,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.1,0.0,0.9,0.0,0.2,0.2,0.3,0.2,0.1,0.0,0.0,0.1,0.3,1.2,0.5,0.7,0.0,47.5,2.8,1.0,40.4,3.2,0.4,0.1,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.3,0.7,3.044522437723423,2,Tiền vệ,Europe,Europe,Mid-High Tier
4,Bayern Munich,Bundesliga,20,Germany,188,Defensive Midfield,both,50.0,49.0,16.0,2.0,1250.0,1,0,2,0,0.4,94.1,0.5,0,6.85,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.1,0.0,0.6,0.0,0.3,0.3,0.5,0.9,0.1,0.0,0.0,0.1,0.2,0.3,0.0,0.3,0.0,74.9,2.3,1.3,68.2,3.2,0.7,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.1,1.8,0.5,2.3,3.9318256327243257,2,Tiền vệ,Europe,Europe,Top Tier
5,Holstein Kiel,Bundesliga,26,Sweden,185,Right Winger,left,1.5,25.0,12.0,4.0,1047.0,5,2,3,0,1.4,63.7,1.0,1,6.82,2.8,1.0,1.8,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.9,0.2,0.0,0.9,1.6,1.2,2.8,0.8,1.2,0.3,0.0,0.2,0.1,0.2,0.9,0.0,0.9,0.1,15.0,0.4,1.0,9.2,4.4,1.9,1.1,0.0,0.0,0.0,0.0,1.4,0.6,0.0,0.8,1.4,0.6,2.1,0.9162907318741551,3,Tiền đạo,Europe,Europe,Bottom Tier
6,Borussia Dortmund,Bundesliga,34,Germany,195,Goalkeeper,right,0.8,13.0,2.0,0.0,180.0,0,0,0,0,0.0,63.7,0.0,0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,40.0,6.5,14.0,19.0,0.5,0.0,0.0,3.5,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0,Phòng ngự,Europe,Europe,Bottom Tier
7,VfB Stuttgart,Bundesliga,28,Germany,193,Goalkeeper,right,12.0,13.0,31.0,0.0,2790.0,0,1,0,0,0.0,73.4,0.1,0,6.44,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,34.6,6.5,8.9,18.9,0.3,0.0,0.0,2.6,0.1,1.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,0,Phòng ngự,Europe,Europe,Mid-Tier
8,TSG 1899 Hoffenheim,Bundesliga,23,Austria,180,Left-Back,left,6.5,37.0,18.0,4.0,1526.0,0,1,1,0,0.5,75.6,0.8,1,6.56,1.6,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.2,0.0,0.0,2.1,1.0,0.9,1.9,1.1,0.8,0.0,0.0,0.0,0.0,0.4,0.8,0.2,0.6,0.0,34.3,1.5,2.9,24.5,5.5,0.9,0.5,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.3,1.9,1.5,3.4,2.0149030205422647,1,Phòng ngự,Europe,Europe,Lower Tier
9,FC Augsburg,Bundesliga,26,France,176,Attacking Midfield,right,12.0,25.0,22.0,3.0,1901.0,9,2,4,0,1.8,83.2,0.5,3,6.97,1.2,0.5,0.7,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.6,0.2,0.0,0.3,1.8,1.5,3.3,1.3,1.0,0.4,0.0,0.3,0.1,0.6,0.7,0.0,0.6,0.1,21.9,0.5,0.4,17.7,3.3,2.9,1.7,0.0,0.0,0.0,0.0,1.8,1.0,0.0,0.8,1.5,0.6,2.1,2.5649493574615367,4,Tiền đạo,Europe,Europe,Mid-Tier
