,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
0,22,188,18.0,49.0,5.0,1619.0,7,2,70.4,3,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.8,1.2,0.6,0.0,0.2,0.0,0.2,0.2,1.7,1.4,0.1,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
1,27,186,2.0,37.0,14.0,1383.0,2,1,81.9,0,6.55,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.6,0.3,0.6,0.0,0.1,0.0,0.2,0.1,1.2,0.7,0.1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
2,32,181,6.0,13.0,5.0,1812.0,11,4,75.6,2,6.76,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.3,1.2,0.6,0.1,0.3,0.0,0.1,0.3,1.4,0.8,0.2,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
3,27,173,20.0,49.0,10.0,1295.0,3,3,91.0,1,6.68,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.3,0.2,0.0,0.0,0.1,0.3,0.0,0.4,0.1,0.0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
4,20,188,50.0,49.0,2.0,1250.0,1,0,94.1,0,6.85,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.6,0.5,0.9,0.0,0.0,0.1,0.2,0.0,0.7,0.1,0.0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
5,26,185,1.5,25.0,4.0,1047.0,5,2,63.7,1,6.82,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.9,0.9,0.8,1.2,0.0,0.2,0.1,0.2,0.1,1.9,1.1,0.0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6,34,195,0.8,13.0,0.0,180.0,0,0,63.7,0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,28,193,12.0,13.0,0.0,2790.0,0,1,73.4,0,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
8,23,180,6.5,37.0,4.0,1526.0,0,1,75.6,1,6.56,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.2,2.1,1.1,0.8,0.0,0.0,0.0,0.4,0.0,0.9,0.5,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
9,26,176,12.0,25.0,3.0,1901.0,9,2,83.2,3,6.97,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.3,1.3,1.0,0.0,0.3,0.1,0.6,0.1,2.9,1.7,0.0,4,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
10,18,186,1.0,37.0,4.0,134.0,0,0,91.6,0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11,24,183,50.0,61.0,2.0,1562.0,1,2,91.1,0,7.08,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.7,1.1,1.4,0.4,0.1,0.0,0.0,0.7,0.2,1.7,1.0,0.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
12,27,178,20.0,13.0,12.0,1256.0,0,1,81.3,0,6.53,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.9,0.3,0.8,0.0,0.0,0.0,0.7,0.0,0.2,0.3,0.0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
13,23,187,7.5,37.0,1.0,436.0,0,0,92.3,0,6.57,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.6,4.0,0.7,0.6,0.0,0.0,0.0,1.3,0.0,0.4,0.0,0.0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
14,24,180,22.0,37.0,12.0,622.0,2,0,81.9,0,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.2,0.5,0.5,0.0,0.1,0.0,0.0,0.4,1.1,0.4,0.1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
15,27,192,3.0,13.0,7.0,1237.0,0,0,83.6,0,6.57,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.4,3.6,0.6,0.4,0.0,0.0,0.0,1.1,0.0,0.2,0.2,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
16,28,185,6.0,13.0,10.0,1009.0,1,1,81.4,0,6.42,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.3,3.6,0.3,0.8,0.0,0.1,0.0,0.4,0.0,0.3,0.1,0.0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
17,25,187,16.0,49.0,6.0,370.0,1,1,88.3,0,6.61,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.2,0.2,0.0,0.1,0.0,0.2,0.1,0.6,0.4,0.0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
18,25,189,2.5,1.0,4.0,799.0,5,0,56.2,1,6.67,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.4,0.5,0.9,0.2,0.2,0.0,0.3,0.6,1.9,0.6,0.2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
19,33,177,4.0,13.0,0.0,2520.0,11,5,83.8,2,6.73,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.3,0.9,0.4,0.1,0.3,0.0,0.2,0.3,1.6,1.2,0.2,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
20,29,186,5.0,1.0,3.0,377.0,1,0,73.1,0,6.29,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.4,1.0,0.6,0.0,0.1,0.0,0.0,0.3,1.9,1.3,0.0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
