,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,Benjamin Bourigeaud,Rennes,31 years old (14-01-1994),178cm,France,"Midfielder (Centre, Left, Right)",4,2,2,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,1,-,-,1,-,-,1,2,-,-,-,-,42,3,1,33,5,1,1,-,-,-,-,2,1,-,1,1,2,3,Benjamin Bourigeaud,1,81,1,-,-,-,2,85.7,2,-,7.99
2,Ousmane Dembélé,Paris Saint-Germain,27 years old (15-05-1997),178cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",0.3,0.1,0.2,-,-,-,-,-,0.2,0.2,-,-,0.1,0.1,-,-,1.9,1.5,3.3,0.5,0.3,0.8,0.1,0.6,-,0.3,2.3,0.2,2,0.3,34,1.2,0.5,27.2,5.2,1.4,1,-,-,-,-,3.3,0.8,0.3,2.2,0.4,0.3,0.7,Ousmane Dembélé,19(9),1663,21,6,2,-,3.3,83.3,0.1,9,7.7
4,Amine Gouiri,Marseille,25 years old (16-02-2000),180cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",1.1,0.2,0.9,0.1,0.1,-,-,-,0.2,0.3,-,-,0.5,-,-,0.1,0.8,0.5,1.4,0.3,0.7,0.6,-,0.4,0.3,-,1.9,0.8,1.1,0.4,21.2,0.1,0.1,18.9,2.1,1.3,1.1,-,-,-,-,3.9,1,0.1,2.8,0.5,0.1,0.5,Amine Gouiri,9(2),789,7,3,-,-,3.9,89.7,0.2,2,7.44
5,Mika Biereth,Monaco,22 years old (08-02-2003),187cm,,Forward,3.4,1.4,2,-,-,-,-,-,0.1,0.1,-,-,0.7,0.1,-,0.4,0.6,0.1,0.7,1.8,1.3,0.9,0.4,0.6,-,0.3,1.5,0.1,1.4,0.4,15.1,0.1,0.1,9.4,5.6,2.5,1.1,-,-,-,-,2.9,0.1,0.6,2.1,0.3,0.3,0.6,Mika Biereth,14,1149,13,2,1,-,2.9,62.7,1.4,4,7.41
6,Mason Greenwood,Marseille,23 years old (01-10-2001),181cm,Jamaica,"Attacking Midfielder (Centre, Left, Right), Forward",0.5,0.2,0.2,-,-,-,-,-,0.1,0.1,-,-,0.2,0.1,-,0.2,2.2,1.7,3.9,1.1,0.7,0.6,0.1,0.5,0.1,0.3,1.3,0.2,1.1,0.1,37.9,1.8,1.2,29.8,5.2,1.7,1.4,-,-,-,-,3.4,1.4,0.2,1.8,1.1,0.6,1.7,Mason Greenwood,29(2),2550,18,4,2,-,3.4,83.2,0.2,10,7.36
7,Rayan Cherki,Lyon,21 years old (17-08-2003),180cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",0.4,0.1,0.3,0.1,-,0.1,-,-,0.1,0.4,-,-,0.2,0.1,-,0.2,1.6,1.6,3.2,1.1,0.6,0.3,-,0.3,-,0.3,2.5,0.4,2.1,0.1,40.5,1.4,0.5,32.9,5.6,1.6,1.5,-,-,-,-,1.3,0.3,0.1,0.9,0.5,0.8,1.3,Rayan Cherki,20(7),1843,8,10,3,-,1.3,84.9,0.1,6,7.35
8,Andrey Santos,Strasbourg,20 years old (03-05-2004),180cm,Brazil,Defensive Midfielder (C),1.9,1.2,0.8,-,-,-,-,-,0.1,0.1,0.4,0.1,1,0.2,-,2.2,0.6,0.6,1.2,1.9,0.9,0.3,0.1,0.1,0.1,0.8,0.9,0.2,0.7,-,48.8,1.6,0.8,41.3,5,1.4,0.3,-,-,-,-,1.3,0.6,0.3,0.4,3.5,1.2,4.7,Andrey Santos,29,2587,9,3,7,-,1.3,88.1,1.2,2,7.34
9,Achraf Hakimi,Paris Saint-Germain,26 years old (04-11-1998),181cm,Morocco,"Defender (Left, Right), Midfielder (Right)",0.9,0.4,0.5,-,-,-,-,-,0.3,0.3,0.1,0.2,1,0.2,-,0.6,1,1,2.1,1,0.8,0.2,-,0.1,-,1.2,2.1,0.3,1.8,0.3,76.9,1.5,0.8,68.5,6.2,1.5,0.6,-,-,-,-,1.3,0.6,0.1,0.6,2,1.2,3.1,Achraf Hakimi,23(1),1978,4,6,4,-,1.3,91,0.4,-,7.33
10,Bradley Barcola,Paris Saint-Germain,22 years old (02-09-2002),182cm,France,"Attacking Midfielder (Left, Right), Forward",0.6,0.4,0.2,-,-,-,-,-,0.3,0.3,0.1,-,0.7,0.1,-,0.3,3,1,4.1,0.6,0.9,0.4,-,0.4,-,0.6,1.5,0.1,1.4,0.2,25,0.4,0.2,20.6,3.9,1.9,0.6,-,-,-,-,2.3,0.3,0.2,1.7,0.8,0.7,1.5,Bradley Barcola,24(7),1976,13,10,2,-,2.3,83.8,0.4,4,7.27
11,Gaëtan Perrin,Auxerre,28 years old (07-06-1996),169cm,France,"Attacking Midfielder (Centre, Left, Right)",0.5,0.1,0.4,0.2,0.1,-,-,-,0.1,0.3,-,-,0.3,-,-,0.1,2.1,1.7,3.9,0.5,0.7,0.3,-,0.2,0.1,0.4,2.2,0.8,1.4,0.3,24.5,1.4,0.6,17.8,4.7,1.2,1.8,-,-,-,-,1.8,0.8,-,0.9,1.6,0.8,2.4,Gaëtan Perrin,28(3),2445,9,9,1,-,1.8,78.3,0.1,7,7.26
