Total,AccLB,InAccLB,AccSP,InAccSP
29,5,16,8,-
18,3,5,10,-
26.5,2.5,3,20.5,0.5
83.8,3.7,1.8,74.2,4.2
37,7.2,11.4,18,0.4
52.3,1.8,4.8,42.3,3.5
16.7,0.1,0.2,12.3,4
26.3,1.3,0.6,21.2,3.3
26.2,0.3,0.3,20.4,5.3
39,4,9,26,-
32.4,0.7,0.6,26.5,4.6
14.9,0.3,0.2,11.3,3
17.3,0.7,0.1,11.3,5.1
55.4,3.4,1.6,46.6,3.8
19.7,0.9,0.3,14.2,4.3
23.2,1.4,0.6,17.9,3.3
39.6,1.4,2.2,34.2,1.7
9.6,0.3,-,6.6,2.7
17.2,0.2,0.3,11.8,4.9
28.5,1,0.6,23.2,3.7
30.5,1.1,0.4,25.1,3.9
50.3,2.3,3,42,3
23.4,0.8,0.5,17.3,4.8
61.2,2.3,1.6,54.5,2.8
38.6,1.6,0.6,32.7,3.7
57.8,1.8,2,50.8,3.2
26.2,0.5,0.4,21.2,4.1
19.1,0.3,0.1,15.5,3.2
33.3,1,0.5,27.2,4.6
19.2,0.9,0.8,12.8,4.7
59.1,5.4,2.7,47.5,3.6
25.4,1.5,1,18.4,4.5
30,2,-,23,5
39.3,7.5,14.3,17.2,0.3
52.9,2.7,1.6,42.4,6.3
41.7,1.1,0.9,34.3,5.4
33.4,1.1,2.2,25,5
71.6,4.4,2.7,61,3.5
61.3,3.1,3.1,50.5,4.5
33.3,1.5,1.1,28.2,2.5
27,9,4,14,-
53.8,2.9,1.5,44.1,5.3
31.2,1.1,1.1,25.1,3.9
29.7,0.7,0.6,25.1,3.3
25,3,6,16,-
27.5,1.5,0.6,22.3,3.1
27,0.8,0.5,22.5,3.3
27.5,3,2,19,3.5
27.9,1.2,0.8,22.1,3.8
14.8,0.1,-,7.2,7.5
33.4,1.9,2.2,26.9,2.4
40.6,1,1.4,34.7,3.6
49.8,1.5,1.5,40.8,5.9
38,1.7,2.2,29.3,4.8
22,4,4,14,-
55.2,1.8,2.5,47.6,3.4
21.5,0.6,0.6,16,4.3
60.9,4.2,2.9,51.2,2.6
49.3,1.7,1.7,41.8,4
45.7,1.1,0.8,40.1,3.8
33.1,3.3,5.5,19.6,4.7
45.9,3,4.1,34.5,4.3
28.8,7.6,8.6,12.3,0.2
28.2,1,0.9,22,4.3
67.4,4.9,2.3,55.1,5.1
12.9,0.2,-,9.3,3.5
28.8,4.9,8.3,15.1,0.4
39.9,2.7,2.7,31.7,2.9
24.9,0.7,0.5,19,4.8
33.3,6,15.8,11.1,0.4
28,6,9,12.9,0.1
55,3,2,47,3
33.3,4.2,7.7,21.3,0.1
37.4,1.4,2.3,29.7,4
21.5,0.8,0.6,16.2,4
26.7,1,1,20.4,4.3
28.9,0.8,0.4,22.2,5.5
14.2,0.2,0.2,9.9,3.9
46.2,2.8,2.5,37.5,3.4
18.3,0.5,0.1,10.4,7.3
20.3,0.4,0.3,16.6,3
26.7,4.8,7.9,14,0.1
30.4,3.2,7.2,19.8,0.2
23,0.6,1.6,14.9,5.9
27.9,0.8,1,22.8,3.3
42.9,2.5,2.9,32.6,5
33.1,2.1,2.7,24.8,3.6
33.6,9,12,12.5,0.1
34.3,1.6,2.5,26.5,3.7
39.2,1.2,0.7,34.1,3.3
19,-,-,17,2
49.5,2.5,3.7,39.8,3.6
22.5,0.6,0.5,16.7,4.8
65,3.6,1.8,56.1,3.5
62.1,3,2,53.6,3.4
47.4,1.9,0.4,40.1,5
38,1.2,1.5,30.6,4.8
17.4,0.7,0.5,11.1,5.1
31.6,1.8,2.5,23.4,4
59.7,3.2,3.8,48.6,4.1
35.2,1,0.9,29.1,4.2
51,1.3,1.2,46.2,2.3
51.9,0.8,0.8,48.6,1.7
45.6,1.9,2.7,37.2,3.9
53,3.3,1.9,45.1,2.8
48.3,3.6,4.1,38.3,2.4
53.4,2.4,3,44.5,3.5
23.3,1,1.3,16.5,4.5
29.9,0.6,1.1,25.2,3
43.9,2.3,2.7,35.1,3.8
58.2,3.5,3.5,48.8,2.4
54,1,1.5,46.5,4.9
35.5,4.9,4.6,25.7,0.2
51.3,2.6,5.4,39.7,3.6
40,6.3,7.3,26,0.3
28.3,1.9,2.1,20.7,3.6
66.2,2.1,2.8,58.8,2.5
51.3,4.2,4.3,38.8,4
54.5,2.6,2.5,47,2.4
35,4,1,26,4
50.5,1.5,2,42.3,4.6
35.8,0.9,0.8,31.1,3.1
29.2,0.7,0.4,24.9,3.1
30.5,1.7,2.2,22.1,4.6
17,0.2,0.1,14.5,2.3
36.6,2.9,2.2,25.2,6.3
47.8,2,2.1,40.4,3.4
16.4,0.4,0.6,12.5,3
56.5,2.7,0.9,48.7,4.3
20.5,0.9,1.2,12.3,6.2
31.7,1.6,1.9,23.7,4.5
32.9,3.1,1.7,25.1,3
8.5,0.3,0.3,6.9,1.1
46.3,3.3,1.8,36.4,4.8
38,2.3,3.7,28.1,3.9
37.4,0.9,1.6,31.8,3.1
18.6,1.4,0.9,14.4,2
22.6,1.3,1.5,16.8,2.9
43.4,1.7,0.9,37.3,3.5
13,0.4,0.2,8.9,3.5
28.1,1,1,22.3,3.9
9.9,0.4,0.3,5,4.1
35.7,6.4,8.6,20.4,0.3
18.9,0.5,0.3,14.1,4
27.8,1.5,2.2,20.7,3.4
15.9,0.7,0.3,11.8,3.1
18,0.5,0.2,14.8,2.5
24.3,0.5,0.2,19.2,4.3
42.6,1.8,1.6,34.2,5
53.9,1.6,1.6,48.2,2.5
57.4,3.1,1.5,48.9,3.8
52.2,2.2,3.3,43.2,3.5
42.4,1.7,1.1,35.3,4.3
13.2,-,-,9.9,3.3
18.5,0.7,0.3,15.2,2.3
36.7,5.2,5.4,25.8,0.2
21,5,14,2,-
48.7,1.8,1.3,43,2.6
10.3,0.3,-,7.3,2.7
28.4,1.9,3.6,18.4,4.6
12.8,0.9,0.2,9.1,2.6
31.3,4.4,4.7,21.8,0.4
52.2,1.8,1.9,44.6,3.9
39.5,2.9,2.3,29.7,4.6
41,1.8,2.8,33.4,3
28.2,6.5,11.6,9.8,0.2
16.8,0.6,0.1,13.7,2.4
35,6.3,12.6,16,0.1
23.5,0.5,0.6,20.2,2.2
45.1,1.5,0.3,39.9,3.4
26.5,5.1,6.5,14.8,0.1
29.2,1.5,3.3,20.9,3.5
24.4,1.2,2.2,17.2,3.8
32.9,0.9,0.5,27.1,4.4
38.7,1.8,2.2,31.6,3.1
57.8,3.3,1.6,50.7,2.2
28.8,0.9,1.8,21.9,4.2
11.5,0.3,0.1,7.2,3.9
43.3,1.6,1.6,35.8,4.4
21.9,1.3,0.6,17.3,2.7
19.6,0.2,0.6,17.5,1.3
36,3.1,1.6,26.7,4.7
27.1,1.3,2.3,19.3,4.2
20.6,0.8,0.9,16.3,2.5
72.9,2.3,1.3,66.1,3.1
36.2,1,1.4,29.8,3.9
30.5,4.6,9.3,16.4,0.2
45.6,0.8,0.8,41.3,2.7
41.3,2.1,3.4,33.2,2.6
17.2,0.6,0.8,9.9,6
14.4,0.5,0.3,11.2,2.3
29,0.3,0.5,25.8,2.5
56.5,3.6,2.9,47.1,2.9
31.6,7,10.1,14.3,0.1
19.7,0.5,0.5,16.5,2.1
42.2,1,1.2,36,4
38.3,2,2.5,29.9,3.9
48.8,1.3,1.6,44,1.9
36.6,3.3,2.4,28.1,2.9
14.9,0.5,0.3,10.6,3.5
21.8,1.1,0.7,16.7,3.3
64.2,3.5,2.7,55.1,2.9
60,2,-,53,5
9.7,0.1,0.1,8,1.5
35.7,2,1,30.3,2.3
45.4,2.9,3.1,36.9,2.5
14.9,0.3,0.2,11.2,3.2
33.4,1.8,3.4,25.2,3
49.6,3.3,2.8,40.5,3
36.4,2,2.4,28.8,3.3
43.1,3.3,3.1,34,2.6
35.7,2.2,1.8,27.3,4.5
17.5,0.3,0.4,10.8,5.9
35.8,1,1.6,28.9,4.3
37.1,1.2,0.5,32.6,2.9
22.1,1,2.1,15,3.9
44,1.8,2,36.9,3.3
34,1.4,0.9,28.7,3
15.1,0.3,0.3,12,2.4
22.7,0.7,1.1,17.3,3.5
25.2,1.1,2,19.3,2.9
44.9,1.4,2.8,37.6,3.2
35.9,2.1,2.1,27.4,4.3
20.8,1.3,1.3,15.2,3.1
41.6,1.6,1,35,3.9
13.4,0.1,0.2,9,4.1
31.3,1.9,1.6,25.9,1.9
29.4,1.4,1.4,21.8,4.9
22.2,0.8,0.4,17.8,3.3
8,-,-,7,1
17.8,0.5,0.5,13.6,3.2
43.8,1.6,3.3,35.6,3.3
45.1,1.4,1.3,38.3,4.1
16.1,0.7,0.8,12.6,2.1
20.7,0.8,2.1,14.8,2.9
22.5,0.9,1.2,18,2.4
11.5,0.4,0.3,8.2,2.6
34.6,1.1,1.2,30.7,1.6
14.4,0.1,0.2,10.7,3.4
51.3,2.3,2.9,41.4,4.7
30.4,0.9,0.5,24.9,4.1
38.7,1.6,1.4,33.3,2.3
12,0.3,0.2,9.2,2.3
23.3,1.1,1,18.7,2.5
26.5,1,1.5,21.3,2.7
34.7,1.6,1.5,29.6,2.1
11.7,0.2,-,10.3,1.2
24,1.4,1.2,19.1,2.3
17.1,0.7,0.2,14.1,2
28.8,1.2,2.2,22.5,3
26.3,1.1,0.9,19.6,4.8
19.1,0.4,1,13.5,4.2
7.4,-,0.1,6,1.3
31.6,5.9,7.3,18.3,0.1
11.2,0.4,0.6,8.8,1.4
11.1,0.3,0.5,7.6,2.7
36.5,2,2.2,29.4,2.8
20.1,1.5,0.4,15.5,2.8
17.1,0.8,0.4,11.9,4
19.7,0.8,1.1,15,2.8
23.3,0.5,0.4,18.5,3.9
15.6,0.7,1,11.3,2.7
41.8,1.7,2.1,34,4
15.1,0.4,0.8,10.6,3.3
21.9,1.3,3.3,14.7,2.6
23.6,1.6,1,17.1,4
20.7,0.9,1.1,15.4,3.3
18.5,0.7,0.7,15.2,1.9
48.6,1.9,1,42.4,3.4
42.5,2.2,2.8,33.4,4.2
30,4,2,20.5,3.5
37.7,2.3,1.8,31.2,2.4
23.5,0.7,0.6,19.1,3.2
18.9,0.5,0.1,16.4,1.9
31.9,3.6,9.4,18.5,0.4
27.9,1.1,1.6,22.1,3.1
17.7,0.2,0.3,11.8,5.4
13.7,0.6,0.3,10.8,2
30.1,0.6,1.1,25.7,2.6
19.7,0.4,0.9,16.6,1.8
26.6,0.8,0.7,21.3,3.8
11.6,0.4,0.1,8.8,2.3
36.2,1.9,2.3,27.5,4.5
24.3,-,0.8,21.5,2
21,0.7,1,15.8,3.5
29.7,5.2,8,16.3,0.2
37.8,1.7,1,32.2,2.9
27.3,0.8,1,21.3,4.1
14.2,0.7,0.8,9.3,3.5
29.4,2.6,2.1,20.4,4.3
15.2,1,0.5,9.9,3.8
64.5,4.5,3,51,6
23.2,1.5,1.2,16.8,3.7
20.6,0.7,1.2,16.3,2.4
11.6,0.4,0.4,7.8,3
15.5,1.3,0.8,10.8,2.7
55.2,1.6,4,44.8,4.8
36.7,0.8,1.6,31.9,2.4
30.9,1.9,2.1,24.9,2.1
7.8,0.1,0.1,5.4,2.2
8.3,0.1,0.1,6.1,2.1
26.9,1.7,3.5,17.4,4.4
30.5,2.2,1.7,23.6,2.9
28.7,1.8,0.7,23.8,2.4
13.1,0.3,0.8,9.2,2.9
20.1,0.5,0.4,15.9,3.3
11.3,0.2,0.3,7.9,2.8
18.6,0.7,0.4,14.2,3.3
25.2,0.8,0.3,22.4,1.7
11.4,0.3,0.1,8.4,2.6
22.7,1.3,1.9,15.8,3.8
27.6,0.4,0.3,24.9,2
15.9,0.6,0.7,11.5,3.2
11.8,0.2,0.2,9.7,1.6
36.3,6,8.6,21.4,0.3
15,0.5,0.6,11.7,2.3
31.3,6.4,13.5,11.1,0.3
11,0.6,0.3,8,2.1
29,1.4,2.4,20.8,4.4
44,3,13,28,-
20.3,1.1,0.4,15.4,3.3
29.6,1.1,0.8,25.1,2.6
10.6,0.2,0.4,6.6,3.4
16.9,0.4,0.1,14.3,2
22.3,2.3,2.7,15.3,2
18.9,0.2,0.6,15.3,2.8
13.8,0.6,0.4,8.8,3.9
16.7,0.6,0.2,12.2,3.8
20.8,0.5,1.2,15.2,3.9
37.8,2.2,3.2,27.6,4.8
9.8,0.1,0.1,6.7,2.8
33.8,1,0.8,28.1,4
25.8,6.2,6.8,12.8,-
36.4,5.4,8.6,22.3,0.1
16,0.3,0.4,12.4,2.9
16.9,0.7,0.6,13,2.5
27,0.5,1.2,23.6,1.7
12.9,0.3,0.4,10.2,2
31.2,1.7,0.6,25.6,3.3
43.8,2.2,1.4,36.3,4
33.5,1.8,1.6,28.8,1.4
47.5,2.8,2.2,40.9,1.6
34.2,1.9,1.7,27.6,3.1
35.1,8,8.4,18.6,0.2
9.8,0.2,-,7.4,2.1
37.1,2.2,1.1,32.2,1.6
38.2,0.4,0.3,34.4,3.2
32.1,2.7,1,26.6,1.9
5.1,0.2,0.1,2.9,1.9
26.8,6.4,14.8,5.6,-
27.1,0.6,0.6,22.2,3.6
36.4,1.8,1,30.3,3.4
12.7,0.1,0.2,9.3,3.1
20.6,0.8,0.9,15.8,3.1
11.4,0.5,0.5,7.5,2.9
45.4,2.1,2.2,38.5,2.6
22.1,0.6,0.4,18.6,2.5
28.6,1.4,1.8,22.5,2.9
31.6,1,1.5,25.7,3.5
24.5,1.6,0.6,20.7,1.7
8,0.2,-,6.7,1.1
22.8,0.6,1.3,17.6,3.3
21.3,0.9,0.8,15.6,4.1
10.2,0.3,0.3,6.9,2.7
27.6,5.5,7.4,14.5,0.2
29.8,1.3,1.7,23.4,3.4
17.6,0.2,0.1,15.6,1.8
28.7,1.3,1.4,22.7,3.3
24.2,0.9,0.4,21.1,1.8
8.3,0.1,0.2,6.3,1.7
44.6,2.2,3.3,35.5,3.6
21,1.2,1.5,15.9,2.4
14.2,0.4,0.2,9.7,3.9
11.9,0.6,0.3,8.2,2.8
26.7,0.9,0.5,22.7,2.6
22.4,2.5,1.3,15.9,2.6
14.5,0.6,0.9,11,2
21.3,0.8,0.6,17.4,2.6
43.6,2,2.8,36,2.8
22.5,0.8,1.5,16.9,3.2
22.8,1.3,0.5,17.4,3.6
40.5,1.9,1.4,33.1,4.1
26.1,1.9,2.5,18.9,2.8
13.4,0.4,0.3,11.6,1.1
19.4,0.8,1.3,14.1,3.2
24.8,1.2,2.2,18.6,2.8
14.3,0.5,1.1,9,3.6
6.3,0.1,-,4.5,1.7
20.6,1.2,0.6,16.4,2.4
42.4,2.8,1.7,34.1,3.7
28.1,2.3,3.3,19.7,2.9
24.6,1.5,1.2,19,3
26.6,1.1,1.6,20.8,3.2
19.3,0.6,0.8,15.3,2.6
37.4,1.9,2.1,29.9,3.5
24.3,1.3,2.6,16.6,3.7
24,1,0.4,20.2,2.4
42.5,1.5,2.3,35.8,3
19.4,0.5,0.5,16.7,1.8
17,0.8,0.8,12.2,3.3
17.4,0.8,0.7,12.9,2.9
45,3,1.5,38,2.5
12.1,0.3,0.4,9.9,1.5
9.2,0.3,0.4,6.3,2.1
13,0.2,0.3,10.4,2.1
32.7,6.4,6.3,20,-
27.1,1.1,1.4,21.9,2.7
29,-,-,24,5
18.7,1,1.9,12.9,3
16.5,1.5,1.2,12.5,1.4
29.5,3.5,0.3,25.3,0.5
25.3,1.3,1.6,18.5,3.8
9.6,0.3,0.5,7.3,1.4
7,0.1,0.2,6,0.7
13.9,0.3,-,11.8,1.8
22.6,1.5,2.1,17,2.1
9.7,0.1,0.1,7.1,2.2
8.3,0.1,0.2,6.6,1.4
12.1,0.1,0.2,10.2,1.7
13.3,0.9,0.9,9.7,1.9
18.6,0.2,0.3,16.5,1.6
26,4,4,17.5,0.5
27,0.3,0.7,23,3
30.2,1.1,0.6,26.1,2.6
17.3,0.5,0.3,14,2.5
8.3,-,0.3,5.3,2.7
9.4,0.1,0.1,7.6,1.5
18.8,1.1,1,13.2,3.5
11.5,0.6,0.5,7.8,2.6
11,0.4,0.4,8.1,2
3.5,0.3,0.3,2.3,0.8
20.4,0.5,0.7,15.6,3.6
20.5,0.9,1.3,14.9,3.4
30.3,1.5,2.5,24,2.3
32.3,1.8,1.2,25.5,3.8
4,-,-,3,1
23,0.5,0.5,20.5,1.5
26.9,0.8,0.5,22.6,2.9
25,1.7,1.2,20.7,1.4
42.5,2.1,0.9,37.3,2.3
4.4,0.1,-,3.5,0.8
17.5,0.8,0.3,14.4,2
9.4,-,1.4,6.6,1.4
35.1,1.1,1.4,30.4,2.3
36.2,2.3,2.9,30,1
27.2,7.5,8.9,10.6,0.2
6.1,-,-,4.7,1.4
10.8,-,-,5.2,5.7
20.3,0.9,1.7,15.6,2.1
8.6,0.1,0.1,6.1,2.3
21.7,0.7,1.2,17.8,2
6.4,0.1,0.1,4.9,1.3
7.8,0.2,0.1,5.9,1.6
19.3,0.4,0.6,15.2,3.1
36.9,0.6,0.9,32,3.4
8,-,-,6.5,1.4
26.4,7.6,10.8,8,-
39.5,2,2,33.2,2.3
