,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,Daniele Padelli,Udinese,39 years old (25-10-1985),191cm,Italy,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,3,5,10,-,-,-,3,-,2,1,-,-,-,-,-,1,1,Daniele Padelli,1,90,-,-,-,-,-,72.2,-,-,7.47
2,Rui Patrício,Atalanta,37 years old (15-02-1988),190cm,Portugal,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.5,2.5,3,20.5,0.5,-,-,4.5,-,3,1.5,-,-,-,-,-,-,-,Rui Patrício,2,180,-,-,-,-,-,86.8,-,-,7.38
3,Bremer,Juventus,28 years old (18-03-1997),188cm,Brazil,Defender (Centre),3.2,2,1.2,-,-,-,-,-,-,-,1.8,0.3,0.7,0.2,-,2.3,0.2,0.5,0.7,0.8,1.5,-,-,-,-,1,-,-,-,-,83.8,3.7,1.8,74.2,4.2,0.7,0.3,-,-,-,-,0.5,0.2,-,0.3,2.5,0.2,2.7,Bremer,6,540,-,-,1,-,0.5,92.8,2,1,7.35
4,Christos Mandas,Lazio,23 years old (17-09-2001),189cm,Greece,Goalkeeper,0.6,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,7.2,11.4,18,0.4,-,-,2.8,-,2.4,0.4,-,-,-,-,-,-,-,Christos Mandas,5,450,-,-,-,-,-,68.1,0.6,1,7.34
5,Stefan Posch,Atalanta,27 years old (14-05-1997),190cm,Austria,"Defender (Centre, Right)",2.5,1,1.5,-,-,-,-,-,-,-,0.3,-,1,-,-,3.3,0.3,0.3,0.5,-,2.5,-,-,-,-,1,-,-,-,-,52.3,1.8,4.8,42.3,3.5,0.5,1.3,-,-,-,-,0.8,-,-,0.8,3.5,0.3,3.8,Stefan Posch,4,343,-,-,-,-,0.8,84.2,1,-,7.33
6,Marcus Thuram,Inter,27 years old (06-08-1997),192cm,France,"Attacking Midfielder (Left), Forward",2.6,1.5,1.1,-,-,-,-,-,0.1,0.1,0.1,-,0.4,-,-,0.5,0.9,0.7,1.6,1.1,0.8,0.5,0.1,0.4,-,0.1,1.3,-,1.2,0.4,16.7,0.1,0.2,12.3,4,1.7,0.9,-,-,-,-,2.1,0.2,0.2,1.7,0.6,0.4,0.9,Marcus Thuram,26(5),2209,14,4,1,-,2.1,74.7,1.5,5,7.25
7,Scott McTominay,Napoli,28 years old (08-12-1996),193cm,Scotland,"Defender (Centre), Midfielder (Centre)",3.4,1.8,1.6,-,-,-,-,-,-,0.1,0.1,-,0.5,0.1,-,1.5,1.5,1.1,2.6,1.8,1.3,0.4,0.1,0.3,-,0.7,0.6,-,0.6,0.2,26.3,1.3,0.6,21.2,3.3,1.9,1.3,-,-,-,-,2.3,0.6,0.1,1.6,1.3,0.6,1.9,Scott McTominay,29(1),2581,11,2,3,-,2.3,85.2,1.8,5,7.22
8,Ademola Lookman,Atalanta,27 years old (20-10-1997),174cm,Nigeria,"Attacking Midfielder (Centre, Left, Right), Forward",1.1,0.6,0.5,-,-,-,-,-,0.1,0.2,-,-,0.6,0.1,-,0.2,2.2,1.1,3.4,0.6,1.1,0.5,0.1,0.3,0.1,0.1,2,0.5,1.4,0.9,26.2,0.3,0.3,20.4,5.3,2.5,1.7,-,-,-,-,2.6,0.5,0.3,1.9,1.1,0.3,1.4,Ademola Lookman,26(2),2053,13,5,4,-,2.6,78.9,0.6,5,7.22
9,Simone Scuffet,Napoli,28 years old (31-05-1996),193cm,Italy,Goalkeeper,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,4,9,26,-,-,-,3,-,3,-,-,-,-,-,-,-,-,Simone Scuffet,1,90,-,-,-,-,-,76.9,1,-,7.19
10,Nico Paz,Como,20 years old (08-09-2004),186cm,,Attacking Midfielder (Centre),1.5,0.9,0.6,-,-,-,-,-,0.2,0.2,0.1,-,1.3,0.2,-,0.4,1.9,2.1,3.9,1,1.3,0.2,-,0.1,0.1,0.6,1.5,0.3,1.2,0.1,32.4,0.7,0.6,26.5,4.6,2.9,1.3,-,-,-,-,3.1,1.6,0.1,1.5,1.5,0.7,2.3,Nico Paz,26(5),2344,6,6,6,-,3.1,83.8,0.9,4,7.17
