,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,Athletic Bilbao,Unai Simón,Goalkeeper,"1,90m",right,"Jun 30, 2029",€28.00m
1,Athletic Bilbao,Julen Agirrezabala,Goalkeeper,"1,87m",left,"Jun 30, 2027",€15.00m
2,Athletic Bilbao,Dani Vivian,Centre-Back,"1,84m",right,"Jun 30, 2032",€40.00m
3,Athletic Bilbao,Aitor Paredes,Centre-Back,"1,85m",right,"Jun 30, 2029",€22.00m
4,Athletic Bilbao,Yeray Álvarez,Centre-Back,"1,82m",right,"Jun 30, 2026",€7.50m
5,Athletic Bilbao,Unai Núñez,Centre-Back,"1,86m",right,"Jun 30, 2025",€3.00m
6,Athletic Bilbao,Adama Boiro,Left-Back,"1,83m",left,"Jun 30, 2029",€2.50m
7,Athletic Bilbao,Yuri Berchiche,Left-Back,"1,81m",left,"Jun 30, 2025",€1.50m
8,Athletic Bilbao,Andoni Gorosabel,Right-Back,"1,74m",right,"Jun 30, 2028",€5.00m
9,Athletic Bilbao,Iñigo Lekue,Right-Back,"1,80m",right,"Jun 30, 2025",€2.50m
10,Athletic Bilbao,Óscar de Marcos,Right-Back,"1,82m",right,"Jun 30, 2025",€1.50m
11,Athletic Bilbao,Mikel Vesga,Defensive Midfield,"1,91m",left,"Jun 30, 2027",€3.00m
12,Athletic Bilbao,Mikel Jauregizar,Central Midfield,"1,77m",right,"Jun 30, 2027",€20.00m
13,Athletic Bilbao,Beñat Prados,Central Midfield,"1,80m",right,"Jun 30, 2031",€18.00m
14,Athletic Bilbao,Iñigo Ruiz de Galarreta,Central Midfield,"1,75m",right,"Jun 30, 2025",€4.00m
15,Athletic Bilbao,Oihan Sancet,Attacking Midfield,"1,88m",right,"Jun 30, 2032",€60.00m
16,Athletic Bilbao,Unai Gómez,Attacking Midfield,"1,83m",left,"Jun 30, 2028",€6.00m
17,Athletic Bilbao,Peio Canales,Attacking Midfield,"1,75m",right,"Jun 30, 2027",€500k
18,Athletic Bilbao,Nico Williams,Left Winger,"1,81m",right,"Jun 30, 2027",€70.00m
19,Athletic Bilbao,Álex Berenguer,Left Winger,"1,75m",right,"Jun 30, 2027",€12.00m
20,Athletic Bilbao,Álvaro Djaló,Left Winger,"1,75m",right,"Jun 30, 2029",€8.00m
21,Athletic Bilbao,Iñaki Williams,Right Winger,"1,86m",right,"Jun 30, 2028",€20.00m
22,Athletic Bilbao,Gorka Guruzeta,Centre-Forward,"1,88m",right,"Jun 30, 2028",€12.00m
23,Athletic Bilbao,Maroan Sannadi,Centre-Forward,"1,92m",right,"Jun 30, 2029",€5.00m
24,Atlético de Madrid,Jan Oblak,Goalkeeper,"1,88m",right,"Jun 30, 2028",€25.00m
25,Atlético de Madrid,Juan Musso,Goalkeeper,"1,91m",right,"Jun 30, 2025",€4.00m
26,Atlético de Madrid,Robin Le Normand,Centre-Back,"1,87m",right,"Jun 30, 2029",€40.00m
27,Atlético de Madrid,José María Giménez,Centre-Back,"1,85m",right,"Jun 30, 2028",€20.00m
28,Atlético de Madrid,Clément Lenglet,Centre-Back,"1,86m",left,"Jun 30, 2025",€7.50m
29,Atlético de Madrid,Axel Witsel,Centre-Back,"1,86m",right,"Jun 30, 2025",€2.50m
30,Atlético de Madrid,César Azpilicueta,Centre-Back,"1,78m",right,"Jun 30, 2025",€1.80m
31,Atlético de Madrid,Reinildo Mandava,Left-Back,"1,80m",left,"Jun 30, 2025",€8.00m
32,Atlético de Madrid,Javi Galán,Left-Back,"1,72m",left,"Jun 30, 2026",€4.00m
33,Atlético de Madrid,Nahuel Molina,Right-Back,"1,75m",right,"Jun 30, 2027",€25.00m
34,Atlético de Madrid,Pablo Barrios,Central Midfield,"1,81m",right,"Jun 30, 2028",€50.00m
35,Atlético de Madrid,Conor Gallagher,Central Midfield,"1,82m",right,"Jun 30, 2029",€40.00m
36,Atlético de Madrid,Rodrigo De Paul,Central Midfield,"1,80m",right,"Jun 30, 2026",€25.00m
37,Atlético de Madrid,Koke,Central Midfield,"1,76m",right,"Jun 30, 2025",€10.00m
38,Atlético de Madrid,Marcos Llorente,Right Midfield,"1,84m",right,"Jun 30, 2027",€28.00m
39,Atlético de Madrid,Thomas Lemar,Attacking Midfield,"1,71m",left,"Jun 30, 2027",€5.00m
40,Atlético de Madrid,Samuel Lino,Left Winger,"1,77m",right,"Jun 30, 2027",€25.00m
41,Atlético de Madrid,Rodrigo Riquelme,Left Winger,"1,74m",right,"Jun 30, 2028",€18.00m
42,Atlético de Madrid,Giuliano Simeone,Right Winger,"1,73m",right,"Jun 30, 2028",€25.00m
43,Atlético de Madrid,Ángel Correa,Right Winger,"1,71m",right,"Jun 30, 2026",€15.00m
44,Atlético de Madrid,Julián Alvarez,Centre-Forward,"1,70m",right,"Jun 30, 2030",€90.00m
45,Atlético de Madrid,Alexander Sørloth,Centre-Forward,"1,95m",left,"Jun 30, 2028",€25.00m
46,Atlético de Madrid,Antoine Griezmann,Centre-Forward,"1,76m",left,"Jun 30, 2026",€22.00m
47,CA Osasuna,Sergio Herrera,Goalkeeper,"1,92m",right,"Jun 30, 2026",€4.00m
48,CA Osasuna,Aitor Fernández,Goalkeeper,"1,82m",right,"Jun 30, 2027",€1.50m
49,CA Osasuna,Enzo Boyomo,Centre-Back,"1,84m",right,"May 30, 2029",€20.00m
50,CA Osasuna,Jorge Herrando,Centre-Back,"1,92m",left,"Jun 30, 2027",€4.00m
51,CA Osasuna,Alejandro Catena,Centre-Back,"1,94m",right,"Jun 30, 2028",€4.00m
52,CA Osasuna,Unai García,Centre-Back,"1,86m",right,"Jun 30, 2025",€1.00m
53,CA Osasuna,Abel Bretones,Left-Back,"1,88m",left,"Jun 30, 2029",€3.00m
54,CA Osasuna,Juan Cruz,Left-Back,"1,82m",left,"Jun 30, 2026",€1.80m
55,CA Osasuna,Jesús Areso,Right-Back,"1,82m",right,"Jun 30, 2026",€8.00m
56,CA Osasuna,Rubén Peña,Right-Back,"1,70m",right,"Jun 30, 2025",€1.80m
57,CA Osasuna,Lucas Torró,Defensive Midfield,"1,90m",right,"Jun 30, 2027",€3.50m
58,CA Osasuna,Iker Muñoz,Defensive Midfield,"1,80m",right,"Jun 30, 2027",€3.00m
59,CA Osasuna,Jon Moncayola,Central Midfield,"1,82m",right,"Jun 30, 2031",€7.00m
60,CA Osasuna,Pablo Ibáñez,Central Midfield,"1,79m",right,"Jun 30, 2025",€2.30m
61,CA Osasuna,Aimar Oroz,Attacking Midfield,"1,77m",right,"Jun 30, 2029",€15.00m
62,CA Osasuna,Bryan Zaragoza,Left Winger,"1,64m",right,"Jun 30, 2025",€12.00m
63,CA Osasuna,Moi Gómez,Left Winger,"1,76m",right,"Jun 30, 2027",€3.00m
64,CA Osasuna,José Manuel Arnáiz,Left Winger,"1,73m",right,"Jun 30, 2025",€1.80m
