,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Unnamed: 0,CLB,Main_position,Foot,Contract,Market_Value
0,Strasbourg,22 years old (25-12-2002),"1,88m",Ivory Coast,Defender (Centre),2,1.1,0.9,-,-,-,-,-,-,-,0.5,-,0.4,0.1,0.1,3.2,0.2,0.2,0.3,0.4,0.9,0.1,-,0.1,-,0.6,-,-,-,-,33.6,0.6,1.6,29.4,2,0.3,0.2,-,-,-,-,0.3,-,0.1,0.2,1.4,0.1,1.5,Abakar Sylla,10(9),936,1,-,2,1,0.3,89.2,1.1,-,6.38,Ligue1,363,RC Strasbourg Alsace,Centre-Back,left,"Jun 30, 2028",€12.00m
1,Brest,23 years old (17-06-2001),"1,88m",Senegal,"Attacking Midfielder (Left, Right), Forward",3.3,1.5,1.8,-,-,-,-,-,0.1,0.1,-,0.1,0.3,0.1,-,0.3,0.7,0.3,1,0.9,0.7,0.3,0.1,0.2,-,-,0.5,-,0.5,0.2,12,0.2,0.1,8.5,3.1,2.1,0.9,-,-,-,-,1.5,0.2,0.3,1,0.5,0.3,0.8,Abdallah Sima,14(10),1173,7,2,2,-,1.5,73.2,1.5,1,6.53,Ligue1,403,Stade Brestois 29,Left Winger,right,"Jun 30, 2025",€10.00m
2,Reims,20 years old (22-04-2005),"1,92m",France,Defender,0.5,0.5,-,-,-,-,-,-,-,-,0.3,-,0.3,-,-,1.3,0.3,0.3,0.5,0.8,0.8,-,-,-,-,0.3,-,-,-,-,12,0.5,1.3,7.5,2.8,1.3,0.3,-,-,-,-,-,-,-,-,1.3,0.5,1.8,Abdoul Kone,1(3),130,-,-,-,-,-,66.7,0.5,-,6.25,Ligue1,415,Stade Reims,Centre-Back,right,"Jun 30, 2027",€500k
3,Strasbourg,19 years old (22-10-2005),"1,80m",France,Midfielder,0.6,0.2,0.4,-,-,-,-,-,0.1,0.1,-,0.1,0.6,0.1,-,0.6,0.1,0.1,0.3,0.1,0.3,0.1,-,0.1,-,0.5,0.2,-,0.2,0.1,11.5,0.3,-,9.7,1.5,0.4,0.3,-,-,-,-,0.3,0.1,-,0.2,0.4,0.1,0.5,Abdoul Ouattara,3(12),424,1,1,1,-,0.3,87.2,0.2,-,6.26,Ligue1,379,RC Strasbourg Alsace,Right Winger,,"Jun 30, 2029",€800k
4,Angers,35 years old (25-04-1990),"1,82m",Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",1.5,0.6,0.9,-,-,-,-,-,-,-,0.4,0.2,0.3,0.1,-,4,-,0.1,0.1,0.4,0.5,-,-,-,-,1,0.3,0.1,0.3,-,29.5,1.4,1.5,25.1,1.5,0.2,0.2,-,-,-,-,0.1,-,-,0.1,1.2,0.3,1.4,Abdoulaye Bamba,16(3),1511,-,-,2,-,0.1,89.6,0.6,-,6.38,Ligue1,32,Angers SCO,Centre-Back,right,"Jun 30, 2025",€350k
5,Brest,23 years old (10-04-2002),"1,95m",Senegal,Defender (Centre),4.2,2.3,1.8,-,-,-,-,-,-,-,0.7,0.3,0.5,0.2,0.1,6.2,0.3,0.1,0.3,0.8,0.8,0.1,-,0.1,-,0.4,0.1,-,0.1,-,39.3,2.9,2.2,30.7,3.4,0.5,0.2,-,-,-,-,0.5,-,0.1,0.4,2,0.5,2.5,Abdoulaye Ndiaye,16(3),1442,1,-,3,1,0.5,85.8,2.3,-,6.74,Ligue1,387,Stade Brestois 29,Centre-Back,left,"Jun 30, 2025",€3.00m
6,Le Havre,31 years old (03-03-1994),"1,88m",France,Defensive Midfielder (C),2,1.3,0.7,-,-,-,-,-,-,-,0.7,0.1,0.6,0.2,-,1.4,0.6,0.6,1.2,1.8,1.1,0.3,-,0.3,-,1.2,0.2,-,0.2,-,35.7,2.6,1.5,27,4.6,1.1,1.2,-,-,-,-,1.8,1,0.1,0.7,2.3,0.8,3.1,Abdoulaye Toure,23(2),2061,8,1,5,-,1.8,83,1.3,2,6.76,Ligue1,166,Le Havre AC,Defensive Midfield,right,"Jun 30, 2025",€3.00m
7,Paris Saint-Germain,26 years old (04-11-1998),"1,81m",Morocco,"Defender (Left, Right), Midfielder (Right)",0.9,0.4,0.5,-,-,-,-,-,0.3,0.3,0.1,0.2,1,0.2,-,0.6,1,1,2.1,1,0.8,0.2,-,0.1,-,1.2,2.1,0.3,1.8,0.3,76.9,1.5,0.8,68.5,6.2,1.5,0.6,-,-,-,-,1.3,0.6,0.1,0.6,2,1.2,3.1,Achraf Hakimi,23(1),1978,4,6,4,-,1.3,91,0.4,-,7.33,Ligue1,318,Paris Saint-Germain,Right-Back,right,"Jun 30, 2029",€65.00m
8,Auxerre,29 years old (08-11-1995),"1,80m",Japan,Forward,2.2,1.3,0.9,-,-,-,-,-,-,-,-,-,0.3,-,-,0.4,0.5,0.3,0.8,0.4,0.3,0.1,-,0.1,-,0.1,0.3,-,0.3,0.1,10.3,0.1,0.1,7.6,2.4,0.9,0.7,-,-,-,-,0.8,0.2,0.1,0.5,0.4,0.2,0.6,Ado Onaiwu,8(20),853,4,1,1,1,0.8,75.3,1.3,-,6.38,Ligue1,24,AJ Auxerre,Centre-Forward,right,"Jun 30, 2026",€1.80m
9,Marseille,30 years old (03-04-1995),"1,91m",France,"Midfielder (Centre, Left)",2,1.1,0.9,-,-,-,-,-,0.1,0.1,-,-,0.7,0.2,-,1.1,0.9,0.9,1.8,1.1,2,0.3,0.1,0.2,-,0.8,0.8,0.1,0.8,0.4,52.5,0.6,0.8,45.3,5.7,1.7,1.2,-,-,-,-,1.4,0.3,0.2,0.9,1.7,0.4,2.2,Adrien Rabiot,24(2),2213,7,3,4,-,1.4,87.5,1.1,1,7.06,Ligue1,298,Olympique Marseille,Central Midfield,left,"Jun 30, 2026",€25.00m
10,Lens,31 years old (10-12-1993),"1,75m",France,"Midfielder (Centre, Left, Right)",2,0.6,1.4,-,-,-,-,-,0.1,0.1,0.1,-,1.2,0.2,-,0.9,1.1,0.8,1.8,1.4,1.6,0.1,-,-,-,0.6,1.6,0.1,1.4,0.2,48.1,1.3,1,39.1,6.6,2,1.3,-,-,-,-,1.3,0.3,0.2,0.7,2.8,1.2,4,Adrien Thomasson,28(2),2370,2,4,5,-,1.3,84,0.6,2,6.83,Ligue1,350,RC Lens,Attacking Midfield,right,"Jun 30, 2026",€5.00m
11,Rennes,23 years old (20-11-2001),"1,76m",France,"Defender (Left), Midfielder (Left)",1.9,1,0.9,-,-,-,-,-,-,-,0.2,0.1,1.2,0.1,-,1.5,0.9,0.5,1.3,1.1,0.8,0.1,-,-,-,0.9,1.2,0.5,0.7,0.1,37,0.7,1.3,30.4,4.6,1.1,0.7,-,-,-,-,0.7,0.3,-,0.4,1.9,0.5,2.4,Adrien Truffert,28(2),2485,2,1,3,-,0.7,84.2,1,1,6.79,Ligue1,445,Stade Rennais FC,Left-Back,left,"Jun 30, 2026",€15.00m
12,Lyon,27 years old (29-08-1997),"1,80m",England,"Defender (Left, Right), Midfielder (Centre, Left, Right)",0.9,0.4,0.5,0.1,-,-,-,-,0.1,0.1,0.1,-,0.8,-,-,1.7,0.7,0.5,1.2,0.3,0.4,-,-,-,-,0.8,0.8,0.1,0.8,0.1,31.7,1.2,1,26.3,3.3,0.8,0.7,-,-,-,-,0.7,0.3,0.1,0.3,2.1,0.8,3,Ainsley Maitland Niles,17(12),1708,1,4,1,-,0.7,86.6,0.4,-,6.68,Ligue1,267,Olympique Lyon,Right-Back,right,"Jun 30, 2027",€10.00m
13,Nantes,26 years old (23-01-1999),"1,96m",France,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,0.2,0.1,-,1.2,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-,-,25.8,4.3,8.9,12.6,0.1,-,-,2.7,-,1.5,1.2,-,-,-,-,0.1,-,0.1,Alban Lafont,12,1080,-,-,1,-,-,65.2,0.4,2,6.58,Ligue1,106,FC Nantes,Goalkeeper,right,"Jun 30, 2027",€4.00m
14,Monaco,28 years old (30-05-1996),"1,78m",Russia,"Midfielder (Centre, Left, Right)",1.2,0.5,0.7,-,-,-,-,-,-,-,0.2,0.1,0.6,0.1,-,0.3,0.8,1.2,1.9,1.1,1.3,0.2,-,0.1,0.1,0.6,1.3,0.2,1.1,0.1,33.9,2.2,1.5,24.7,5.5,1.4,0.9,-,-,-,-,1.3,0.7,-,0.5,2,1.2,3.2,Aleksandr Golovin,13(6),1155,3,-,1,-,1.3,79.2,0.5,1,6.9,Ligue1,69,AS Monaco,Attacking Midfield,right,"Jun 30, 2029",€25.00m
15,Lyon,33 years old (28-05-1991),"1,75m",France,"Midfielder (Centre, Left, Right), Forward",1.7,0.6,1.1,-,-,-,-,-,-,0.1,0.1,-,0.4,0.2,-,0.2,0.6,0.4,1,1,1.6,0.5,0.2,0.3,-,0.3,0.8,-,0.8,0.7,17.4,0.5,0.5,12.2,4.3,1.8,0.6,-,-,-,-,1.9,0.2,0.3,1.4,0.5,0.4,0.8,Alexandre Lacazette,22(6),1892,13,2,5,-,1.9,72.5,0.6,1,6.85,Ligue1,280,Olympique Lyon,Centre-Forward,right,"Jun 30, 2025",€8.00m
16,Nice,31 years old (20-12-1993),"1,83m",Tunisia,Midfielder (Left),1.5,0.9,0.7,0.1,-,-,-,-,-,0.1,0.2,0.2,0.6,0.1,-,1.3,0.7,0.5,1.1,0.5,1.1,0.2,-,0.1,-,0.9,0.8,0.2,0.6,0.2,21.1,0.4,1,16.4,3.3,1.2,0.6,-,-,-,-,1.2,0.4,0.1,0.7,1.9,0.6,2.5,Ali Abdi,15(7),1257,4,2,2,-,1.2,79.5,0.9,3,6.85,Ligue1,240,OGC Nice,Left-Back,left,"Jun 30, 2027",€3.00m
17,Rennes,24 years old (04-06-2000),"1,73m",Ghana,"Defender (Centre, Right)",2.1,0.9,1.2,-,-,-,-,-,-,-,0.5,-,0.6,0.4,-,1.5,0.8,0.8,1.6,2.5,0.9,-,-,-,-,1.3,0.5,-,0.5,0.1,41.5,1.5,1.9,34.4,3.7,0.5,0.9,-,-,-,-,0.3,0.1,-,0.2,2,0.3,2.3,Alidu Seidu,10(1),807,-,-,4,-,0.3,86.4,0.9,-,6.85,Ligue1,441,Stade Rennais FC,Centre-Back,right,"Jun 30, 2029",€9.00m
18,Le Havre,28 years old (07-09-1996),"1,74m",France,"Defender (Right), Defensive Midfielder (C)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Alois Confais,0(1),2,-,-,-,-,-,50,-,-,5.97,Ligue1,168,Le Havre AC,Defensive Midfield,right,"Jun 30, 2025",€200k
19,Reims,19 years old (14-05-2005),-,,Defensive Midfielder (C),1.7,0.8,1,-,-,-,-,-,-,-,0.1,0.1,0.5,0.1,-,1.5,0.5,0.6,1.1,2.1,0.8,-,-,-,-,0.8,0.3,-,0.2,-,24.6,1.3,0.7,20.1,2.4,0.9,0.5,-,-,-,-,0.5,0.4,-,-,2.1,0.5,2.6,Amadou Kone,14(7),1089,-,-,2,1,0.5,87.2,0.8,-,6.63,Ligue1,422,Stade Reims,Defensive Midfield,left,"Jun 30, 2028",€1.50m
