,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,CLB,Main_position,Foot,Contract,Market_Value
0,Genoa,28 years old (22-04-1997),"1,78m",Spain,"Defender (Left), Midfielder (Left)",1.6,0.6,1,0.1,0.1,-,0.1,-,-,0.1,0.3,0.3,0.7,0.2,-,1.8,0.4,0.4,0.8,0.8,1,-,-,-,,0.6,1.8,0.8,1,0.1,33.1,2.1,2.7,24.8,3.6,0.7,0.5,-,-,-,-,0.5,0.3,-,0.1,2.1,0.5,2.6,Aaron Martin,32,2788,-,4,5,-,0.5,81,0.6,1,6.82,SerieA,Genoa CFC,Left-Back,left,"Jun 30, 2026",€6.50m
1,Verona,27 years old (13-01-1998),"1,82m",Netherlands,"Midfielder (Centre, Left, Right)",1.5,0.8,0.7,0.1,-,-,-,-,0.1,0.2,-,0.1,0.5,0.1,-,0.4,1.4,0.6,2,0.3,1,0.1,0.1,-,,0.2,0.4,0.1,0.3,-,18.9,0.2,0.6,15.3,2.8,1.2,1,-,-,-,-,1.5,0.4,-,1.1,0.9,-,0.9,Abdou Harroui,5(5),463,1,2,1,-,1.5,82,0.8,-,6.45,SerieA,Hellas Verona,Central Midfield,both,"Jun 30, 2028",€2.00m
2,Lazio,32 years old (17-10-1992),"1,85m",Montenegro,"Defender (Centre, Left, Right), Midfielder (Left, Right)",1.6,1,0.7,-,-,-,-,-,-,-,0.2,0.1,0.3,-,-,1.7,0.4,0.3,0.7,0.4,0.6,0.1,-,-,,0.5,0.4,-,0.4,0.1,30.1,0.6,1.1,25.7,2.6,0.3,0.4,-,-,-,-,0.7,0.2,0.1,0.4,0.9,0.4,1.3,Adam Marusic,22(9),2091,4,-,1,-,0.7,87.6,1,1,6.51,SerieA,SS Lazio,Right-Back,right,"Jun 30, 2026",€4.00m
3,Torino,31 years old (02-01-1994),"1,91m",Morocco,"Defender (Centre, Left), Midfielder (Left)",3.6,2.7,1,-,-,-,-,-,0.1,0.1,0.6,0.2,0.4,0.2,-,3.3,0.2,0.2,0.4,0.6,0.8,-,-,-,,1,0.2,-,0.1,0.1,43.9,2.3,2.7,35.1,3.8,0.3,0.3,-,-,-,-,0.3,0.1,0.1,0.1,1.3,0.6,2,Adam Masina,17(7),1667,1,2,5,-,0.3,85.2,2.7,1,6.75,SerieA,Torino FC,Centre-Back,left,"Jun 30, 2026",€1.50m
4,Cagliari,22 years old (23-08-2002),"1,88m",Slovakia,"Defender (Centre, Left)",2.4,1.3,1.1,-,-,-,-,-,0.1,0.1,0.4,0.1,0.6,0.2,-,2.4,0.3,0.3,0.6,0.4,1.1,0.1,0.1,-,,1,0.6,0.1,0.5,-,20.7,0.8,2.1,14.8,2.9,1.3,0.4,-,-,-,-,0.5,0.1,0.2,0.3,1.7,0.6,2.3,Adam Obert,12(6),960,1,1,4,-,0.5,75.6,1.3,-,6.56,SerieA,Cagliari Calcio,Centre-Back,left,"Jun 30, 2029",€3.00m
5,Atalanta,27 years old (20-10-1997),"1,74m",Nigeria,"Attacking Midfielder (Centre, Left, Right), Forward",1.1,0.6,0.5,-,-,-,-,-,0.1,0.2,-,-,0.6,0.1,-,0.2,2.2,1.1,3.4,0.6,1.1,0.5,0.3,0.1,,0.1,2,0.5,1.4,0.9,26.2,0.3,0.3,20.4,5.3,2.5,1.7,-,-,-,-,2.6,0.5,0.3,1.9,1.1,0.3,1.4,Ademola Lookman,26(2),2053,13,5,4,-,2.6,78.9,0.6,5,7.22,SerieA,Atalanta BC,Second Striker,right,"Jun 30, 2027",€60.00m
6,Parma Calcio 1913,24 years old (24-11-2000),"1,91m",Poland,Forward,2.5,1.1,1.4,-,-,-,-,-,-,-,0.1,-,0.3,-,-,1,0.1,-,0.1,0.6,0.4,-,-,-,,-,0.1,-,0.1,0.1,6,0.4,0.4,3.6,1.6,0.6,0.4,-,-,-,-,0.4,0.1,-,0.3,-,0.1,0.1,Adrian Benedyczak,2(6),194,-,-,-,-,0.4,66.7,1.1,-,6.08,SerieA,Parma Calcio 1913,Left Winger,both,"Jun 30, 2028",€4.50m
7,Torino,31 years old (04-02-1994),"1,82m",France,"Defender (Centre), Midfielder (Centre)",1,0.6,0.4,-,-,-,-,-,-,-,0.3,0.2,0.2,0.2,-,0.2,0.6,0.2,0.8,0.2,0.4,-,-,-,,0.5,0.3,-,0.3,-,14.5,0.6,0.2,12.2,1.6,0.5,0.2,-,-,-,-,0.4,0.1,0.1,0.2,0.3,0.5,0.7,Adrien Tameze,9(11),648,-,-,3,-,0.4,87.9,0.6,-,6.18,SerieA,Torino FC,Defensive Midfield,right,"Jun 30, 2026",€3.50m
8,Parma Calcio 1913,23 years old (26-05-2001),"1,74m",Spain,Defensive Midfielder (C),0.4,0.3,0.1,-,-,-,-,-,-,-,0.5,0.2,0.7,0.1,-,1.1,0.9,0.8,1.7,1.8,0.5,0.1,-,0.1,,0.3,1.1,0.4,0.7,-,46.3,3.3,1.8,36.4,4.8,0.6,0.6,-,-,-,-,1.3,1.2,-,0.1,1.5,0.8,2.3,Adrian Bernabe,18(1),1365,1,-,1,-,1.3,85.7,0.3,1,6.71,SerieA,Parma Calcio 1913,Central Midfield,left,"Jun 30, 2027",€15.00m
9,Genoa,20 years old (11-10-2004),"1,89m",Uruguay,Defender (Centre),2.5,1.2,1.3,-,-,-,-,-,-,-,0.2,-,0.5,0.2,-,2.9,0.2,0.2,0.4,0.4,0.8,-,-,-,,1.1,0.2,0.1,0.2,0.2,24.8,1.2,2.2,18.6,2.8,0.5,0.2,-,-,-,-,0.3,0.1,-,0.2,0.8,0.8,1.7,Alan Matturro,9(4),896,-,-,2,-,0.3,79.8,1.2,-,6.37,SerieA,Genoa CFC,Centre-Back,left,"Jun 30, 2026",€8.00m
