,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,AFC Bournemouth,Kepa Arrizabalaga,Goalkeeper,"1,88m",right,"May 31, 2025",€11.00m
1,AFC Bournemouth,Will Dennis,Goalkeeper,"1,88m",right,"Jun 30, 2028",€350k
2,AFC Bournemouth,Dean Huijsen,Centre-Back,"1,97m",both,"Jun 30, 2030",€42.00m
3,AFC Bournemouth,Ilya Zabarnyi,Centre-Back,"1,89m",right,"Jun 30, 2029",€40.00m
4,AFC Bournemouth,Marcos Senesi,Centre-Back,"1,85m",left,"Jun 30, 2026",€24.00m
5,AFC Bournemouth,James Hill,Centre-Back,"1,84m",right,"Jun 30, 2026",€2.00m
6,AFC Bournemouth,Matai Akinmboni,Centre-Back,"1,88m",left,-,€1.00m
7,AFC Bournemouth,Milos Kerkez,Left-Back,"1,80m",left,"Jun 30, 2028",€35.00m
8,AFC Bournemouth,Julio Soler,Left-Back,"1,75m",left,-,€8.00m
9,AFC Bournemouth,Julián Araujo,Right-Back,"1,76m",right,"Jun 30, 2029",€10.00m
10,AFC Bournemouth,Adam Smith,Right-Back,"1,74m",right,"Jun 30, 2026",€1.00m
11,AFC Bournemouth,Tyler Adams,Defensive Midfield,"1,75m",right,"Jun 30, 2028",€18.00m
12,AFC Bournemouth,Ryan Christie,Defensive Midfield,"1,78m",left,"Jun 30, 2027",€12.00m
13,AFC Bournemouth,Alex Scott,Central Midfield,"1,78m",right,"Jun 30, 2028",€20.00m
14,AFC Bournemouth,Lewis Cook,Central Midfield,"1,75m",right,"Jun 30, 2028",€15.00m
15,AFC Bournemouth,Antoine Semenyo,Left Midfield,"1,85m",right,"Jun 30, 2029",€35.00m
16,AFC Bournemouth,Marcus Tavernier,Left Midfield,"1,78m",left,"Jun 30, 2028",€20.00m
17,AFC Bournemouth,Justin Kluivert,Attacking Midfield,"1,72m",both,"Jun 30, 2028",€35.00m
18,AFC Bournemouth,Dango Ouattara,Left Winger,"1,77m",left,"Jun 30, 2028",€25.00m
19,AFC Bournemouth,Luis Sinisterra,Left Winger,"1,72m",right,-,€17.00m
20,AFC Bournemouth,David Brooks,Right Winger,"1,73m",left,"Jun 30, 2026",€12.00m
21,AFC Bournemouth,Evanilson,Centre-Forward,"1,83m",both,-,€35.00m
22,AFC Bournemouth,Enes Ünal,Centre-Forward,"1,87m",right,"Jun 30, 2028",€13.00m
23,AFC Bournemouth,Daniel Jebbison,Centre-Forward,"1,90m",right,"Jun 30, 2028",€4.00m
24,Arsenal FC,David Raya,Goalkeeper,"1,83m",right,"Jun 30, 2028",€40.00m
25,Arsenal FC,Neto,Goalkeeper,"1,90m",right,"Jun 30, 2025",€2.00m
26,Arsenal FC,William Saliba,Centre-Back,"1,92m",right,"Jun 30, 2027",€80.00m
27,Arsenal FC,Gabriel Magalhães,Centre-Back,"1,90m",left,"Jun 30, 2027",€75.00m
28,Arsenal FC,Jakub Kiwior,Centre-Back,"1,89m",left,"Jun 30, 2028",€22.00m
29,Arsenal FC,Riccardo Calafiori,Left-Back,"1,88m",left,"Jun 30, 2029",€40.00m
30,Arsenal FC,Myles Lewis-Skelly,Left-Back,"1,78m",left,-,€28.00m
31,Arsenal FC,Oleksandr Zinchenko,Left-Back,"1,75m",left,"Jun 30, 2026",€22.00m
32,Arsenal FC,Kieran Tierney,Left-Back,"1,80m",left,"Jun 30, 2025",€10.00m
33,Arsenal FC,Ben White,Right-Back,"1,86m",right,"Jun 30, 2028",€50.00m
34,Arsenal FC,Jurrien Timber,Right-Back,"1,79m",right,"Jun 30, 2028",€50.00m
35,Arsenal FC,Takehiro Tomiyasu,Right-Back,"1,88m",right,"Jun 30, 2026",€25.00m
36,Arsenal FC,Thomas Partey,Defensive Midfield,"1,85m",right,"Jun 30, 2025",€15.00m
37,Arsenal FC,Jorginho,Defensive Midfield,"1,78m",right,"Jun 30, 2025",€8.00m
38,Arsenal FC,Declan Rice,Central Midfield,"1,88m",right,"Jun 30, 2028",€110.00m
39,Arsenal FC,Mikel Merino,Central Midfield,"1,89m",left,"Jun 30, 2028",€35.00m
40,Arsenal FC,Martin Ødegaard,Attacking Midfield,"1,78m",left,"Jun 30, 2028",€100.00m
41,Arsenal FC,Gabriel Martinelli,Left Winger,"1,78m",right,"Jun 30, 2027",€55.00m
42,Arsenal FC,Leandro Trossard,Left Winger,"1,72m",right,"Jun 30, 2026",€30.00m
43,Arsenal FC,Bukayo Saka,Right Winger,"1,78m",left,"Jun 30, 2027",€150.00m
44,Arsenal FC,Ethan Nwaneri,Right Winger,"1,76m",left,"Jun 30, 2030",€55.00m
45,Arsenal FC,Raheem Sterling,Right Winger,"1,70m",right,"May 31, 2025",€15.00m
46,Arsenal FC,Kai Havertz,Centre-Forward,"1,93m",left,"Jun 30, 2028",€70.00m
47,Arsenal FC,Gabriel Jesus,Centre-Forward,"1,75m",right,"Jun 30, 2027",€40.00m
48,Aston Villa,Emiliano Martínez,Goalkeeper,"1,95m",right,"Jun 30, 2029",€25.00m
49,Aston Villa,Robin Olsen,Goalkeeper,"1,96m",right,"Jun 30, 2025",€1.50m
50,Aston Villa,Pau Torres,Centre-Back,"1,92m",left,"Jun 30, 2028",€40.00m
51,Aston Villa,Ezri Konsa,Centre-Back,"1,83m",right,"Jun 30, 2028",€35.00m
52,Aston Villa,Axel Disasi,Centre-Back,"1,91m",right,"Jun 30, 2025",€25.00m
53,Aston Villa,Tyrone Mings,Centre-Back,"1,96m",left,"Jun 30, 2026",€6.00m
54,Aston Villa,Kortney Hause,Centre-Back,"1,91m",left,"Jun 30, 2025",€2.00m
55,Aston Villa,Ian Maatsen,Left-Back,"1,78m",left,"Jun 30, 2030",€28.00m
56,Aston Villa,Lucas Digne,Left-Back,"1,78m",left,"Jun 30, 2026",€12.00m
57,Aston Villa,Matty Cash,Right-Back,"1,85m",right,"Jun 30, 2027",€28.00m
58,Aston Villa,Andrés García,Right-Back,"1,85m",right,-,€7.00m
59,Aston Villa,Amadou Onana,Defensive Midfield,"1,95m",right,"Jun 30, 2029",€55.00m
60,Aston Villa,Boubacar Kamara,Defensive Midfield,"1,84m",right,"Jun 30, 2027",€38.00m
61,Aston Villa,Lamare Bogarde,Defensive Midfield,"1,85m",right,-,€5.00m
62,Aston Villa,Youri Tielemans,Central Midfield,"1,77m",right,"Jun 30, 2027",€35.00m
63,Aston Villa,John McGinn,Central Midfield,"1,78m",left,"Jun 30, 2027",€18.00m
64,Aston Villa,Ross Barkley,Central Midfield,"1,89m",right,"Jun 30, 2026",€8.00m
65,Aston Villa,Jacob Ramsey,Left Midfield,"1,80m",right,"Jun 30, 2027",€32.00m
66,Aston Villa,Morgan Rogers,Attacking Midfield,"1,87m",right,"Jun 30, 2030",€50.00m
67,Aston Villa,Marcus Rashford,Left Winger,"1,85m",right,"Jun 30, 2025",€50.00m
68,Aston Villa,Leon Bailey,Right Winger,"1,78m",left,"Jun 30, 2027",€32.00m
69,Aston Villa,Donyell Malen,Right Winger,"1,76m",right,-,€25.00m
70,Aston Villa,Marco Asensio,Right Winger,"1,82m",left,"Jun 30, 2025",€20.00m
71,Aston Villa,Ollie Watkins,Centre-Forward,"1,80m",right,"Jun 30, 2028",€50.00m
72,Brentford FC,Mark Flekken,Goalkeeper,"1,95m",both,"Jun 30, 2027",€10.00m
73,Brentford FC,Hákon Rafn Valdimarsson,Goalkeeper,"1,95m",right,"Jun 30, 2028",€2.50m
74,Brentford FC,Nathan Collins,Centre-Back,"1,93m",right,"Jun 30, 2029",€28.00m
75,Brentford FC,Sepp van den Berg,Centre-Back,"1,92m",right,"Jun 30, 2029",€20.00m
76,Brentford FC,Kristoffer Ajer,Centre-Back,"1,98m",right,"Jun 30, 2028",€18.00m
77,Brentford FC,Ethan Pinnock,Centre-Back,"1,94m",left,"Jun 30, 2027",€8.00m
78,Brentford FC,Ben Mee,Centre-Back,"1,80m",left,"Jun 30, 2025",€900k
79,Brentford FC,Ji-soo Kim,Centre-Back,"1,92m",both,"Jun 30, 2027",€600k
80,Brentford FC,Rico Henry,Left-Back,"1,70m",left,"Jun 30, 2026",€17.00m
81,Brentford FC,Aaron Hickey,Right-Back,"1,85m",both,"Jun 30, 2028",€18.00m
82,Brentford FC,Michael Kayode,Right-Back,"1,79m",right,"Jun 30, 2025",€18.00m
83,Brentford FC,Vitaly Janelt,Defensive Midfield,"1,84m",left,"Jun 30, 2026",€22.00m
84,Brentford FC,Christian Nørgaard,Defensive Midfield,"1,87m",right,"Jun 30, 2027",€12.00m
85,Brentford FC,Yunus Emre Konak,Defensive Midfield,"1,81m",right,"Jun 30, 2029",€4.50m
